  unseq  	  starname  	  HD 	 HIP 	 Mv 	 BV 	 Sptype 	 comments 	 ra 	 dec 	 pmra 	 pmdec 	 pmq 	 airmass 	 exptime 	 skyq 	 usn 	 usignal1sec  	  bsn 	 bsignal1sec 	  vsn 	 vsignal1sec 	  rsn 	 rsignal1sec 	 isn 	 isignal1sec 	 pmtotal 	 bvcor 	 bjd 	 program 	 obsmode 	 observer 	 date 	 filename 	 vrad 
281169	Capella	HD 34029	HIP 24608	0.08	0.8	G3III:	SB*	05:16:41.40	 45:59:53.02	75.25	-426.89	A	1.524	60.0	0.10423	   85.8	   122.69	  230.1	   882.12	  417.5	  2904.77	  480.1	  3842.19	  445.7	  3310.72	0.0	 -25.108054	2455294.388581	28	HRF_OBJ	Nadya Gorlova	2010-04-07T21:22:53.944305	/STER/mercator/hermes/20100407/reduced/00281169_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	29.19
281170	Capella	HD 34029	HIP 24608	0.08	0.8	G3III:	SB*	05:16:41.40	 45:59:53.02	75.25	-426.89	A	1.555	40.0	0.10659	   71.7	   128.62	  191.5	   917.20	  344.7	  2970.69	  395.0	  3901.43	  364.2	  3316.32	0.0	 -25.110651	2455294.392381	28	HRF_OBJ	Nadya Gorlova	2010-04-07T21:28:22.366443	/STER/mercator/hermes/20100407/reduced/00281170_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	29.19
281171	Capella	HD 34029	HIP 24608	0.08	0.8	G3III:	SB*	05:16:41.40	 45:59:53.02	75.25	-426.89	A	1.570	40.0	0.06893	   58.1	    84.44	  154.6	   597.78	  277.2	  1921.14	  316.9	  2510.45	  290.9	  2115.91	0.0	 -25.111858	2455294.394223	28	HRF_OBJ	Nadya Gorlova	2010-04-07T21:31:01.495384	/STER/mercator/hermes/20100407/reduced/00281171_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	29.19
281172	Capella	HD 34029	HIP 24608	0.08	0.8	G3III:	SB*	05:16:41.40	 45:59:53.02	75.25	-426.89	A	1.587	40.0	0.03553	   42.1	    44.28	  111.4	   310.39	  199.0	   990.15	  227.5	  1293.56	  208.2	  1083.25	0.0	 -25.113117	2455294.396200	28	HRF_OBJ	Nadya Gorlova	2010-04-07T21:33:52.309998	/STER/mercator/hermes/20100407/reduced/00281172_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	29.19
281173	Capella	HD 34029	HIP 24608	0.08	0.8	G3III:	SB*	05:16:41.40	 45:59:53.02	75.25	-426.89	A	1.600	40.0	0.03705	   42.6	    45.26	  114.3	   326.39	  203.2	  1032.61	  232.9	  1356.02	  213.7	  1141.94	0.0	 -25.114068	2455294.397735	28	HRF_OBJ	Nadya Gorlova	2010-04-07T21:36:04.987318	/STER/mercator/hermes/20100407/reduced/00281173_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	29.19
281174	Capella	HD 34029	HIP 24608	0.08	0.8	G3III:	SB*	05:16:41.40	 45:59:53.02	75.25	-426.89	A	1.611	60.0	0.00437	   17.7	     5.20	   47.6	    37.73	   85.5	   121.83	   98.1	   160.40	   90.3	   135.85	0.0	 -25.114907	2455294.399123	28	HRF_OBJ	Nadya Gorlova	2010-04-07T21:38:04.897246	/STER/mercator/hermes/20100407/reduced/00281174_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	29.19
281175	Capella	HD 34029	HIP 24608	0.08	0.8	G3III:	SB*	05:16:41.40	 45:59:53.02	75.25	-426.89	A	1.626	120.0	0.00229	   18.4	     2.81	   48.5	    19.57	   87.5	    63.74	  100.4	    84.00	   92.4	    71.20	0.0	 -25.116071	2455294.401104	28	HRF_OBJ	Nadya Gorlova	2010-04-07T21:40:56.081985	/STER/mercator/hermes/20100407/reduced/00281175_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	29.19
281177	Sirius A	HD 48915A	 	90.0	90.0	A1V	SB*	06:45:08.90	-16:42:58.00	-546.0	-1223.1	B	2.280	60.0	0.0	  182.2	   553.11	  326.4	  1775.25	  388.9	  2520.21	  376.0	  2355.96	  296.7	  1467.51	0.0	 -23.189612	2455294.416433	28	HRF_OBJ	Nadya Gorlova	2010-04-07T22:00:03.747483	/STER/mercator/hermes/20100407/reduced/00281177_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	-5.5
281178	Sirius A	HD 48915A	 	90.0	90.0	A1V	SB*	06:45:08.90	-16:42:58.00	-546.0	-1223.1	B	2.311	60.0	0.0	  155.7	   403.93	  277.2	  1280.81	  329.0	  1803.88	  317.8	  1683.25	  250.7	  1047.47	0.0	 -23.192075	2455294.417922	28	HRF_OBJ	Nadya Gorlova	2010-04-07T22:02:12.379704	/STER/mercator/hermes/20100407/reduced/00281178_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	-5.5
281179	Sirius A	HD 48915A	 	90.0	90.0	A1V	SB*	06:45:08.90	-16:42:58.00	-546.0	-1223.1	B	2.341	60.0	0.0	  213.5	   759.96	  385.4	  2475.93	  454.7	  3445.85	  434.6	  3147.27	  336.6	  1888.57	0.0	 -23.194439	2455294.419366	28	HRF_OBJ	Nadya Gorlova	2010-04-07T22:04:17.144393	/STER/mercator/hermes/20100407/reduced/00281179_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	-5.5
281180	Sirius A	HD 48915A	 	90.0	90.0	A1V	SB*	06:45:08.90	-16:42:58.00	-546.0	-1223.1	B	2.371	60.0	0.0	   83.9	   117.45	  151.1	   380.41	  180.7	   544.35	  174.5	   507.75	  137.6	   315.69	0.0	 -23.196718	2455294.420772	28	HRF_OBJ	Nadya Gorlova	2010-04-07T22:06:18.619019	/STER/mercator/hermes/20100407/reduced/00281180_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	-5.5
281181	Sirius A	HD 48915A	 	90.0	90.0	A1V	SB*	06:45:08.90	-16:42:58.00	-546.0	-1223.1	B	2.403	120.0	0.0	   51.0	    21.70	   92.1	    70.67	  110.7	   102.09	  107.0	    95.32	   84.2	    59.09	0.0	 -23.199629	2455294.422588	28	HRF_OBJ	Nadya Gorlova	2010-04-07T22:08:55.574966	/STER/mercator/hermes/20100407/reduced/00281181_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	-5.5
281182	CCDM J10199+1951A	HD 89484	 	1.98	1.15	K1-IIIFe-1	PM*	10:19:58.40	 19:50:29.40	310.8	-152.9	B	1.014	947.089	0.01019	   25.8	     0.70	   88.7	     8.31	  216.1	    49.33	  261.8	    72.35	  256.6	    69.50	4658094.0	 -21.589460	2455294.437051	28	HRF_OBJ	Nadya Gorlova	2010-04-07T22:23:50.067540	/STER/mercator/hermes/20100407/reduced/00281182_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	-36.98
281183	CCDM J10199+1951A	HD 89484	 	1.98	1.15	K1-IIIFe-1	PM*	10:19:58.40	 19:50:29.40	310.8	-152.9	B	1.013	453.722	0.03372	   32.7	     2.36	  112.5	    27.90	  272.2	   163.29	  328.1	   237.29	  320.8	   226.89	7300416.0	 -21.619528	2455294.447952	28	HRF_OBJ	Nadya Gorlova	2010-04-07T22:39:31.962345	/STER/mercator/hermes/20100407/reduced/00281183_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	-36.98
281184	CCDM J10199+1951A	HD 89484	 	1.98	1.15	K1-IIIFe-1	PM*	10:19:58.40	 19:50:29.40	310.8	-152.9	B	1.015	412.359	0.07155	   45.3	     4.97	  156.6	    59.49	  378.0	   346.52	  455.0	   502.12	  443.5	   477.06	13989905.0	 -21.635151	2455294.453626	28	HRF_OBJ	Nadya Gorlova	2010-04-07T22:47:42.274148	/STER/mercator/hermes/20100407/reduced/00281184_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	-36.98
281216	Arcturus	HD 124897	HIP 69673	-0.05	1.23	K1.5IIIFe-0.5	RG*	14:15:39.70	 19:10:56.71	-1093.39	-2000.06	A	1.075	60.0	0.37979	  102.0	   173.37	  357.3	  2127.99	  846.1	 11930.53	  901.6	 13547.68	  903.4	 13603.04	0.0	   3.046284	2455294.662482	28	HRF_OBJ	Nadya Gorlova	2010-04-08T03:46:50.351008	/STER/mercator/hermes/20100407/reduced/00281216_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	-5.0
281217	Arcturus	HD 124897	HIP 69673	-0.05	1.23	K1.5IIIFe-0.5	RG*	14:15:39.70	 19:10:56.71	-1093.39	-2000.06	A	1.078	20.0	0.44215	   60.5	   183.10	  213.4	  2277.05	  527.1	 13889.67	  641.5	 20574.87	  645.2	 20814.10	0.0	   3.042552	2455294.663864	28	HRF_OBJ	Nadya Gorlova	2010-04-08T03:48:49.737608	/STER/mercator/hermes/20100407/reduced/00281217_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	-5.0
281218	Arcturus	HD 124897	HIP 69673	-0.05	1.23	K1.5IIIFe-0.5	RG*	14:15:39.70	 19:10:56.71	-1093.39	-2000.06	A	1.081	2.0	0.46717	   19.6	   192.42	   69.7	  2425.63	  171.3	 14675.59	  208.2	 21664.71	  209.0	 21834.62	0.0	   3.039919	2455294.664841	28	HRF_OBJ	Nadya Gorlova	2010-04-08T03:50:14.179586	/STER/mercator/hermes/20100407/reduced/00281218_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	-5.0
281219	Arcturus	HD 124897	HIP 69673	-0.05	1.23	K1.5IIIFe-0.5	RG*	14:15:39.70	 19:10:56.71	-1093.39	-2000.06	A	1.083	5.0	0.29040	   24.4	   118.79	   86.0	  1479.54	  213.6	  9122.70	  259.8	 13497.84	  262.3	 13763.76	0.0	   3.037476	2455294.665750	28	HRF_OBJ	Nadya Gorlova	2010-04-08T03:51:32.695307	/STER/mercator/hermes/20100407/reduced/00281219_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	-5.0
281220	Arcturus	HD 124897	HIP 69673	-0.05	1.23	K1.5IIIFe-0.5	RG*	14:15:39.70	 19:10:56.71	-1093.39	-2000.06	A	1.085	8.0	0.33409	   34.4	   147.65	  119.2	  1776.48	  289.8	 10494.96	  348.9	 15214.46	  346.3	 14993.53	0.0	   3.034813	2455294.666742	28	HRF_OBJ	Nadya Gorlova	2010-04-08T03:52:58.445583	/STER/mercator/hermes/20100407/reduced/00281220_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	-5.0
281221	Arcturus	HD 124897	HIP 69673	-0.05	1.23	K1.5IIIFe-0.5	RG*	14:15:39.70	 19:10:56.71	-1093.39	-2000.06	A	1.087	10.0	0.31430	   35.4	   125.38	  126.6	  1603.04	  314.2	  9873.44	  382.0	 14593.00	  384.0	 14742.03	0.0	   3.032577	2455294.667577	28	HRF_OBJ	Nadya Gorlova	2010-04-08T03:54:10.606021	/STER/mercator/hermes/20100407/reduced/00281221_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	-5.0
281222	Arcturus	HD 124897	HIP 69673	-0.05	1.23	K1.5IIIFe-0.5	RG*	14:15:39.70	 19:10:56.71	-1093.39	-2000.06	A	1.089	10.0	0.62609	   50.4	   253.84	  178.4	  3182.49	  443.5	 19667.89	  542.2	 29395.69	  547.2	 29944.32	0.0	   3.030189	2455294.668471	28	HRF_OBJ	Nadya Gorlova	2010-04-08T03:55:27.785862	/STER/mercator/hermes/20100407/reduced/00281222_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	-5.0
281223	Arcturus	HD 124897	HIP 69673	-0.05	1.23	K1.5IIIFe-0.5	RG*	14:15:39.70	 19:10:56.71	-1093.39	-2000.06	A	1.091	10.0	0.61422	   49.8	   248.23	  176.0	  3098.31	  439.3	 19295.15	  536.0	 28733.26	  540.8	 29246.72	0.0	   3.028065	2455294.669267	28	HRF_OBJ	Nadya Gorlova	2010-04-08T03:56:36.586333	/STER/mercator/hermes/20100407/reduced/00281223_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	-5.0
281224	Arcturus	HD 124897	HIP 69673	-0.05	1.23	K1.5IIIFe-0.5	RG*	14:15:39.70	 19:10:56.71	-1093.39	-2000.06	A	1.093	5.0	0.75369	   40.5	   328.39	  141.6	  4012.50	  344.1	 23676.28	  415.9	 34588.76	  414.4	 34344.27	0.0	   3.025574	2455294.670203	28	HRF_OBJ	Nadya Gorlova	2010-04-08T03:57:57.439357	/STER/mercator/hermes/20100407/reduced/00281224_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	-5.0
281225	Arcturus	HD 124897	HIP 69673	-0.05	1.23	K1.5IIIFe-0.5	RG*	14:15:39.70	 19:10:56.71	-1093.39	-2000.06	A	1.095	4.0	0.68904	   33.8	   286.22	  118.8	  3529.99	  294.2	 21645.53	  357.2	 31897.78	  358.3	 32101.60	0.0	   3.023416	2455294.671015	28	HRF_OBJ	Nadya Gorlova	2010-04-08T03:59:07.603792	/STER/mercator/hermes/20100407/reduced/00281225_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	-5.0
281322	Alcaid	HD 120315	HIP 67301	1.86	-0.19000000000000017	B3V	PM*	13:47:32.30	 49:18:47.70	-121.17	-14.91	A	1.068	20.0	0.36707	  111.0	   616.45	  181.5	  1647.82	  199.3	  1985.48	  178.5	  1593.97	  137.9	   950.19	6838049.0	  -6.229888	2455295.582499	28	HRF_OBJ	Nadya Gorlova	2010-04-09T01:54:16.979186	/STER/mercator/hermes/20100408/reduced/00281322_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits	-13.4
